Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1940,NL,88,65,2,4.47,156,6090,5470,697,1421,256,70,93,653,56,,522,570,0.26,0.327,0.383,0.71,183,110,0.97,28.4
1939,NL,84,69,3,4.51,157,6049,5350,708,1420,265,57,78,653,59,,564,639,0.265,0.338,0.38,0.718,176,157,0.972,29.3
1938,NL,69,80,7,4.66,151,5856,5142,704,1322,225,79,61,647,66,,611,615,0.257,0.338,0.367,0.705,157,148,0.973,29.1
1937,NL,62,91,6,3.97,155,5894,5295,616,1401,258,53,37,554,69,,469,583,0.265,0.327,0.354,0.681,217,127,0.964,29
1936,NL,67,87,7,4.24,156,6074,5574,662,1518,263,43,33,596,55,,390,458,0.272,0.323,0.353,0.675,208,107,0.966,28.4
1935,NL,70,83,5,4.62,154,5937,5410,711,1496,235,62,59,666,60,,430,520,0.277,0.333,0.376,0.708,188,146,0.969,27.8
1934,NL,71,81,6,4.89,153,6074,5427,748,1526,284,52,79,699,55,,548,555,0.281,0.35,0.396,0.746,180,141,0.97,27.8
1933,NL,65,88,6,3.93,157,5873,5367,617,1413,224,51,62,566,82,,397,453,0.263,0.316,0.359,0.675,177,120,0.971,29
1932,NL,81,73,3,4.88,154,5944,5433,752,1538,296,59,110,703,61,,388,574,0.283,0.334,0.42,0.754,183,169,0.971,29.8
1931,NL,79,73,4,4.45,153,5814,5309,681,1464,240,77,71,633,45,,409,512,0.276,0.331,0.39,0.721,187,154,0.969,29.3
1930,NL,86,68,4,5.66,154,6089,5433,871,1654,303,73,122,836,53,,481,541,0.304,0.364,0.454,0.818,174,167,0.972,28.9
1929,NL,70,83,6,4.93,153,5954,5273,755,1535,282,69,99,705,80,,504,454,0.291,0.355,0.427,0.782,192,113,0.968,30
1928,NL,77,76,6,4.29,155,5993,5243,665,1393,229,70,66,621,81,,557,510,0.266,0.34,0.374,0.714,217,113,0.965,31
1927,NL,65,88,6,3.51,154,5752,5193,541,1314,195,74,39,499,106,,368,494,0.253,0.306,0.342,0.647,229,117,0.963,29.9
1926,NL,71,82,6,4.02,155,5790,5130,623,1348,246,62,40,568,76,,475,464,0.263,0.328,0.358,0.687,229,95,0.963,31
1925,NL,68,85,6,5.14,153,6046,5468,786,1617,250,80,64,722,37,30,437,383,0.296,0.351,0.406,0.757,210,130,0.966,31.4
1924,NL,92,62,2,4.66,154,5951,5339,717,1534,227,54,72,662,34,46,447,357,0.287,0.345,0.391,0.735,196,121,0.968,30.8
1923,NL,76,78,6,4.86,155,6083,5476,753,1559,214,81,62,674,71,50,425,382,0.285,0.34,0.387,0.727,293,137,0.955,29.7
1922,NL,76,78,6,4.79,155,5953,5413,743,1569,235,76,56,674,79,60,339,318,0.29,0.335,0.392,0.727,208,139,0.967,30.1
1921,NL,77,75,5,4.39,152,5774,5263,667,1476,209,85,59,584,91,73,325,400,0.28,0.325,0.386,0.711,232,142,0.964,30.4
1920,NL,93,61,1,4.26,155,5968,5399,660,1493,205,99,28,566,70,80,359,391,0.277,0.324,0.367,0.691,226,118,0.966,30
1919,NL,69,71,5,3.72,141,5284,4844,525,1272,167,66,25,452,112,,258,405,0.263,0.304,0.34,0.644,219,84,0.963,29.3
1918,NL,57,69,5,2.86,126,4577,4212,360,1052,121,62,10,303,113,,212,326,0.25,0.291,0.315,0.607,193,78,0.963,29.9
1917,NL,70,81,7,3.28,156,5777,5251,511,1299,159,78,25,429,130,,334,527,0.247,0.296,0.322,0.618,245,102,0.962,28.9
1916,NL,94,60,1,3.75,156,5832,5234,585,1366,195,80,28,493,187,,355,550,0.261,0.313,0.345,0.658,224,90,0.965,28.6
1915,NL,80,72,3,3.48,154,5635,5120,536,1268,165,75,14,449,131,126,313,496,0.248,0.295,0.317,0.612,238,96,0.963,26.6
1914,NL,75,79,5,4.04,154,5773,5152,622,1386,172,90,31,529,173,,376,559,0.269,0.323,0.355,0.678,248,112,0.961,26.7
1913,NL,65,84,6,3.91,152,5705,5165,595,1394,193,86,39,502,188,150,361,555,0.27,0.321,0.363,0.685,243,125,0.961,26
1912,NL,58,95,7,4.25,153,5832,5141,651,1377,220,73,32,561,179,,490,584,0.268,0.336,0.358,0.694,255,96,0.959,25.9
1911,NL,64,86,7,3.5,154,5685,5059,539,1198,151,71,28,465,184,,425,683,0.237,0.301,0.311,0.612,241,112,0.962,26.1
1910,NL,64,90,6,3.19,156,5787,5125,497,1174,166,73,25,408,151,,434,706,0.229,0.294,0.305,0.599,235,125,0.964,25.9
1909,NL,55,98,6,2.86,155,5597,5056,444,1157,176,59,16,370,141,,330,644,0.229,0.279,0.296,0.575,282,86,0.955,26.5
1908,NL,53,101,7,2.44,154,5423,4897,375,1044,110,60,28,306,113,,323,608,0.213,0.266,0.277,0.543,247,66,0.961,27.1
1907,NL,65,83,5,2.92,153,5471,4895,446,1135,142,63,18,380,121,,336,629,0.232,0.287,0.298,0.584,262,94,0.959,28.1
1906,NL,66,86,5,3.24,153,5472,4897,496,1156,141,68,25,407,176,,388,664,0.236,0.297,0.308,0.605,283,73,0.955,27.9
1905,NL,48,104,8,3.26,155,5589,5100,506,1255,154,60,29,430,186,,327,606,0.246,0.297,0.317,0.614,408,101,0.937,26.1
1904,NL,56,97,6,3.23,154,5508,4917,497,1142,159,53,15,390,205,,411,688,0.232,0.297,0.295,0.592,343,87,0.945,26.4
1903,NL,70,66,5,4.8,139,5233,4534,667,1201,177,56,15,539,273,,522,516,0.265,0.348,0.339,0.686,284,98,0.951,27.6
1902,NL,75,63,2,4,141,5344,4845,564,1242,147,49,19,476,145,,319,491,0.256,0.311,0.319,0.629,275,79,0.952,28.5
1901,NL,79,57,3,5.43,137,5312,4879,744,1399,206,93,32,633,178,,312,446,0.287,0.335,0.387,0.722,281,99,0.95,29.5
1900,NL,82,54,1,5.75,142,5440,4860,816,1423,199,81,26,676,274,,421,269,0.293,0.359,0.383,0.742,303,102,0.948,29.8
1899,NL,101,47,1,5.95,150,5614,4937,892,1436,178,97,27,723,271,,477,263,0.291,0.368,0.383,0.751,314,125,0.948,28.4
1898,NL,54,91,10,4.28,149,5610,5126,638,1314,156,66,17,563,130,,328,316,0.256,0.309,0.322,0.632,334,125,0.947,28.4
1897,NL,61,71,7,5.9,136,5334,4810,802,1343,202,72,24,644,187,,351,251,0.279,0.336,0.366,0.702,364,99,0.936,29.9
