Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1905,NL,79,74,5,4.75,155,5870,5205,736,1401,160,101,27,611,181,,434,498,0.269,0.332,0.354,0.686,310,122,0.953,28.8
1904,NL,88,65,3,4.43,157,5849,5231,695,1332,189,92,21,561,180,,399,549,0.255,0.313,0.338,0.651,301,81,0.954,29.3
1903,NL,74,65,4,5.43,141,5379,4857,765,1399,228,92,28,652,151,,403,427,0.288,0.346,0.39,0.736,312,84,0.946,30.1
1902,NL,70,70,4,4.49,141,5342,4908,633,1383,188,77,18,531,131,,297,467,0.282,0.328,0.362,0.69,322,118,0.945,28.4
1901,NL,52,87,8,3.95,142,5392,4914,561,1232,173,70,38,476,137,,323,587,0.251,0.303,0.338,0.64,355,102,0.94,27.1
1900,NL,62,77,7,4.88,144,5517,5026,703,1335,178,83,33,591,183,,333,408,0.266,0.318,0.354,0.671,341,120,0.945,28.3
1899,NL,83,67,6,5.48,157,5946,5259,861,1448,195,106,13,699,228,,487,296,0.275,0.344,0.36,0.705,341,113,0.947,29.1
1898,NL,92,60,3,5.29,157,5984,5334,831,1448,207,101,19,688,165,,455,297,0.271,0.335,0.359,0.694,325,128,0.95,29.6
1897,NL,76,56,4,5.69,134,5104,4524,763,1311,219,69,22,617,194,,380,216,0.29,0.353,0.383,0.737,273,100,0.948,29.5
1896,NL,77,50,3,6.12,128,4911,4360,783,1283,204,73,20,648,350,,382,226,0.294,0.357,0.388,0.745,252,107,0.951,30.9
1895,NL,66,64,8,6.84,132,5190,4684,903,1395,235,105,36,769,326,,414,249,0.298,0.359,0.416,0.775,377,112,0.931,30.9
1894,NL,55,75,10,6.99,134,5373,4753,936,1407,228,71,61,795,223,,517,255,0.296,0.37,0.412,0.782,430,122,0.925,29.9
1893,NL,65,63,6,5.79,131,5196,4617,759,1195,161,65,29,615,238,,531,257,0.259,0.341,0.341,0.682,321,138,0.943,28.9
1892,NL,82,68,5,4.94,155,5890,5349,766,1291,155,75,44,604,270,,503,476,0.241,0.311,0.323,0.634,402,140,0.939,29.5
1891,NL,56,81,7,4.68,138,5249,4791,646,1158,148,90,40,537,244,,414,439,0.242,0.308,0.335,0.643,409,101,0.931,29
1890,NL,77,55,4,5.62,134,5128,4644,753,1203,150,120,27,563,312,,433,377,0.259,0.329,0.36,0.689,382,106,0.932,28.1
1889,AA,76,63,4,6.36,141,5356,4844,897,1307,197,96,52,696,462,,452,511,0.27,0.34,0.382,0.722,440,121,0.926,27.8
1888,AA,80,54,4,5.44,137,5206,4801,745,1161,132,82,32,571,469,,345,555,0.242,0.301,0.323,0.624,456,100,0.923,28
1887,AA,81,54,2,6.56,136,5235,4797,892,1285,179,102,37,678,527,,382,379,0.268,0.329,0.371,0.7,484,106,0.916,27.4
1886,AA,65,73,5,6.26,141,5354,4915,883,1225,145,95,45,666,185,,374,633,0.249,0.311,0.345,0.656,582,122,0.905,27.6
1885,AA,63,49,2,5.73,112,4254,4050,642,1046,108,77,26,451,,,153,420,0.258,0.294,0.342,0.636,423,86,0.911,27.9
1884,AA,68,41,5,6.73,112,4296,4090,754,1037,109,96,36,495,,,154,409,0.254,0.289,0.354,0.643,430,82,0.909,26.9
1883,AA,61,37,3,6.76,98,3808,3669,662,961,122,74,34,484,,,139,261,0.262,0.289,0.363,0.652,383,57,0.905,26.6
1882,AA,55,25,1,6.11,80,3109,3007,489,795,95,47,5,329,,,102,204,0.264,0.289,0.332,0.621,332,41,0.907,25.5
